reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 04.11,T3V2 BEN,,0,store,,,0:00,0,0,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
,DIMANCHE 04.11,T3V2 BEN,,1,visit,1,,0:25,20314.6,1501,,,,,,,,VDK,TFCO VDK,Rue Vanderkindere 367,,1180,Uccle,,50.81422,4.35891,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,TFCO,,
,DIMANCHE 04.11,T3V2 BEN,,2,visit,1,,0:52,3293.2,435,,,,,,,,UVO,TFCO UVO,Chaussée de Waterloo 1223,,1180,Uccle,,50.7946,4.37342,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,TFCO,,
,DIMANCHE 04.11,T3V2 BEN,,3,visit,1,,1:26,8616.5,859,,,,,,,,WOO,TFCO WOO Waterloo,Chaussée de Bruxelles 184,,1410,Waterloo,,50.7206199,4.39757,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,TFCO,,
,DIMANCHE 04.11,T3V2 BEN,,4,visit,1,,2:07,7017.2,664,,,,,,,,DatsWater,Dats Waterloo,CHAUSSEE DE TUBIZE 489,,1420,Braine-l'Alleud,,50.69076,4.32587,,,Dats,,0:10:00,,,,,,,,
,DIMANCHE 04.11,T3V2 BEN,,5,visit,1,,2:59,49540.2,2529,,,,,,,,,TFCO GERPINNES,rue neuve 2,,6280,Gerpinnes,,50.34369,4.47261,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T3V2 BEN,,6,visit,1,,4:28,99116.6,4148,,,,,,,,LGG,TFCO LIEGE,74 Rue des Guillemins,,4000,liege,,50.62798,5.56695,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T3V2 BEN,,7,visit,1,,5:47,80963.7,3519,,,,,,,,LEU,TFCO LEUVEN,30 Mechelsestraat,,3000,LEUVEN,,50.88075,4.70009,Fermé dimanche et lundi,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,DIMANCHE 04.11,T3V2 BEN,,8,visit,1,,6:42,24660.7,1472,,,,,,,,STO2,TFCO STOckel,Avenue Orban 227,,1150,Woluwe St Pierre,,50.8388599,4.46446,fermé le lundi,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T3V2 BEN,,9,store,,,7:17,14389,903,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
