reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,visit duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FARM BASCULE,Rue Vanderkindere 546,,,,,50.814585,4.365606,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,504263b,OTAN/ NATO  PROMARITIMES,Avenue du Bourget,,1130,Bruxelles,,50.877383,4.429926,livraison avant 9h30,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,Adria,ADRIA KOMBI,Tivolska cesta 50,,1000,Ljubljana,slovenia,46.05742,14.50523,,,SELIS,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,AGF,AU GRAND FORESTIER,Avenue du Grand Forestier 2,,1170,Bruxelles,,50.80392,4.4288,,,Promaritime,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,ANV,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,ANTWERPEN,,51.21187,4.39655,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,AUD1,TFCO AUDerghem,Square Jean-Baptiste De Greef 2/4,,1160,Auderghem,,50.82046,4.40897,,,TFCO,,0:15:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,AUDvid,TFCO AUD,Square Jean Baptiste De Greef 2,,1160,AUDERGHEM,,50.82046,4.40897,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BDS,Banc des Saveurs,Rue du bois de Linthout 9,,1200,Woluwe-saint-lambert,,50.844216,4.412801,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BDS2,Fish4you,Rue Vanderkindere 153,,1180,Uccle,,50.81378,4.3485699,,0484/888.308,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,Bia,BIA MARA ANVERS,Maalderijstraat 1-5,,2000,ANTWERPEN,,51.22089,4.40053,,,OM,,0:15:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,Boco,BOCO,Avenue Louise 521,,1000,Bruxelles,,50.81537,4.37178,,02 647 70 54,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BRA,TFCO ANV BRASSCHAT,212 Bredabaan,,2930,antwerpen,,51.28897,4.48895,,livraison entre 19h-06h,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BRA3,TFCO ANV BRASSCHAT,TFCO ANV BRASSCHAT,,2930,Antwerpen,,51.28758,4.4866,livraison entre 19h-06h,,TFCO,,0:15:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BRG2,TFCO BRG Brugge,Smedenstraat 36,,8000,Brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,CONEX,CONEX,route de lennik 451,,1070,anderlecht,belgium,50.813566,4.300298,,,SELIS,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,Culinor,CULINOR,Houtstraat 46,Destelbergen,9070,Destelbergen,,51.06797,3.81018,,,,,,,,,,,,,
